Wifi Hotspot Name,Address,Suburb,Latitude,Longitude,Site
Annerley Library Wifi,450 Ipswich Road,ANNERLEY,-27.50942285,153.0333218,Library
Ashgrove Library Wifi,87 Amarina Avenue,ASHGROVE,-27.44394629,152.9870981,Library
Banyo Library Wifi,284 St. Vincents Road,BANYO,-27.37396641,153.0783234,Library
Bracken Ridge Library Wifi,Corner Bracken and Barrett Street,BRACKEN RIDGE,-27.31797261,153.0378735,Library
Brisbane Square Library Wifi,"Brisbane Square, 266 George Street",BRISBANE CITY,-27.47091173,153.0224598,Library
Bulimba Library Wifi,Corner Riding Road & Oxford Street,BALMORAL,-27.45203086,153.0628242,Library
Carina Library Wifi,Corner Mayfield Road & Nyrang Street,CARINA,-27.49169314,153.0912127,Library
Carindale Library Wifi,"Westfield Carindale Shopping Centre, Millennium Blvd",CARINDALE,-27.501238,153.102374,Library
Chermside Library Wifi,375 Hamilton  Road,CHERMSIDE,-27.3856032,153.0349028,Library
City Archives,15/107-123 Muriel Avenue,MOOROOKA,-27.543895,153.020201,Library
Coopers Plains Library Wifi,107 Orange Grove Road,COOPERS PLAINS,-27.56510509,153.0403183,Library
Corinda Library Wifi,641 Oxley Road,CORINDA,-27.53880237,152.9809091,Library
Everton Park Library Wifi,561 South Pine Road,EVERTON PARK,-27.4053336,152.9904205,Library
Fairfield Library Wifi,"Fairfield Gardens Shopping Centre, 180 Fairfield Road",FAIRFIELD,-27.50909038,153.0259709,Library
Garden City Library Wifi,"Garden City Shopping Centre, Corner Logan and Kessels Road",UPPER MOUNT GRAVATT,-27.56244221,153.0809183,Library
Grange Library Wifi,79 Evelyn Street,GRANGE,-27.42531193,153.0174728,Library
Hamilton Library Wifi,Corner Racecourt Road and Rossiter Parade,HAMILTON,-27.43790137,153.0642227,Library
Holland Park Library Wifi,81 Seville Road,HOLLAND PARK,-27.52292286,153.0722921,Library
Inala Library Wifi,"Inala Shopping centre, Corsair Ave",INALA,-27.59828574,152.9735217,Library
Indooroopilly Library Wifi,"Indrooroopilly Shopping centre, Level 4, 322 Moggill Road",INDOOROOPILLY,-27.49764287,152.9736471,Library
Kenmore Library Wifi,"Kenmore Village Shopping Centre, Brookfield Road",KENMORE,-27.50592852,152.9386437,Library
Mitchelton Library Wifi,37 Helipolis Parada,MITCHELTON,-27.41704165,152.9783402,Library
Mt Coot-tha Botanic Gardens Library Wifi,"Administration Building, Brisbane Botanic Gardens (Mt Coot-tha), Mt Coot-tha Road",MOUNT COOT-THA,-27.47529908,152.9760412,Library
Mt Gravatt Library Wifi,8 Creek Road,MOUNT GRAVATT EAST,-27.53855482,153.0802628,Library
Mt Ommaney Library Wifi,"Mt Ommaney Shopping Centre, 171 Dandenong Road",MOUNT OMMANEY,-27.54824198,152.9378099,Library
New Farm Library Wifi,135 Sydney Street,NEW FARM,-27.46736574,153.0495841,Library
Nundah Library Wifi,1 Bage Street,NUNDAH,-27.40125908,153.0583751,Library
Sandgate Library Wifi,Seymour Street,SANDGATE,-27.32060523,153.0704927,Library
Stones Corner Library Wifi,280 Logan Road,STONES CORNER,-27.49803575,153.043655,Library
Sunnybank Hills Library Wifi,"Sunnybank Hills Shopping Centre, Corner Compton and Calam Roads",SUNNYBANK HILLS,-27.6109253,153.0550706,Library
Toowong Library Wifi,"Toowon Village Shopping Centre, Sherwood Road",TOOWONG,-27.48505116,152.9925091,Library
West End Library Wifi,178 - 180 Boundary Street,WEST END,-27.48245078,153.0120763,Library
Wynnum Library Wifi,145 Florence St,WYNNUM,-27.444938,153.171646,Library
Zillmere Library Wifi,Corner Jennings Street and Zillmere Road,ZILLMERE,-27.36014232,153.0407898,Library
QLD_07321001X2,127 Queen St,BRISBANE CITY,-27.46967,153.02515,CBD
QLD_07321010X2,141 Queen St,BRISBANE CITY,-27.46924,153.02579,CBD
QLD_07321014X2,155 Queen St,BRISBANE CITY,-27.46882,153.02657,CBD
QLD_07321017X2,221 Albert St,BRISBANE CITY,-27.469504,153.025176,CBD
QLD_07321116X2,33 Queen St,BRISBANE CITY,-27.47067,153.02387,CBD
QLD_07321117X2,33 Queen St,BRISBANE CITY,-27.47048,153.02392,CBD
QLD_07322112X2,109 Elizabeth St,BRISBANE CITY,-27.470596,153.025824,CBD
QLD_07322116X2,136 Elizabeth St,BRISBANE CITY,-27.470011,153.026413,CBD
QLD_07322117X2,232 Albert St,BRISBANE CITY,-27.469209,153.024791,CBD
QLD_07322119X2,10 Eagle St,BRISBANE CITY,-27.469399,153.030166,CBD
QLD_07322121X2,128 Edward St,BRISBANE CITY,-27.469984,153.028516,CBD
QLD_07322131X2,10 Charlotte St,BRISBANE CITY,-27.47234,153.02498,CBD
QLD_07322136X2,180 Mary St,BRISBANE CITY,-27.470447,153.029261,CBD
QLD_07322138X2,165 Adelaide St,BRISBANE CITY,-27.467763,153.02595,CBD
QLD_07322144X2,179 Ann St,BRISBANE CITY,-27.467221,153.024958,CBD
QLD_07322146X2,280 Adelaide St,BRISBANE CITY,-27.465714,153.028389,CBD
QLD_07322147X2,232 Adelaide St,BRISBANE CITY,-27.46656,153.027263,CBD
QLD_07322148X2,345 Queen St,BRISBANE CITY,-27.46673,153.02909,CBD
QLD_07322150X2,35 Creek St,BRISBANE CITY,-27.467561,153.029193,CBD
QLD_07322165X2,70 Adelaide St,BRISBANE CITY,-27.469385,153.023778,CBD
QLD_07322915X2,15 Adelaide St,BRISBANE CITY,-27.469975,153.023175,CBD
QLD_07322918X2,88 Adelaide St,BRISBANE CITY,-27.46906,153.024087,CBD
QLD_07322920X2,135 Margaret St,BRISBANE CITY,-27.47281561,153.0281487,CBD
QLD_07322921X2,270 Ann St,BRISBANE CITY,-27.466536,153.02562,CBD
QLD_07322922X2,3 Edward St,BRISBANE CITY,-27.47202,153.0305,SOU
