Wifi Hotspot Name,Address,Suburb,Latitude,Longitude,Site
Annerley Library Wifi,450 Ipswich Rd,ANNERLEY,-27.50942285,153.0333218,LIB
Ashgrove Library Wifi,87 Amarina Ave,ASHGROVE,-27.44394629,152.9870981,LIB
Banyo Library Wifi,284 St Vincents Rd,BANYO,-27.37396641,153.0783234,LIB
Bracken Ridge Library Wifi,77 Bracken St,BRACKEN RIDGE,-27.31797261,153.0378735,LIB
Brisbane Square Library Wifi,266 George St,BRISBANE CITY,-27.47091173,153.0224598,LIB
Bulimba Library Wifi,Cnr Riding Rd & Oxford St,BULIMBA,-27.45203086,153.0628242,LIB
Carina Library Wifi,Cnr Mayfield Rd & Nyrang St,CARINA,-27.49169314,153.0912127,LIB
Carindale Library Wifi,"Westfield Carindale, 1151 Creek Rd (near Millenium Boulevard)",CARINDALE,-27.501238,153.102374,LIB
Chermside Library Wifi,375 Hamilton Rd,CHERMSIDE,-27.3856032,153.0349028,LIB
City Archives,15/107-123 Muriel Ave,MOOROOKA,-27.543895,153.020201,LIB
Coopers Plains Library Wifi,107 Orange Grove Rd,COOPERS PLAINS,-27.56510509,153.0403183,LIB
Corinda Library Wifi,641 Oxley Rd,CORINDA,-27.53880237,152.9809091,LIB
Everton Park Library Wifi,561 South Pine Rd,EVERTON PARK,-27.4053336,152.9904205,LIB
Fairfield Library Wifi,"Fairfield Gardens Shopping Centre, Fairfield Rd",FAIRFIELD,-27.50909038,153.0259709,LIB
Garden City Library Wifi,"Garden City Shopping Centre, Level R4, Cnr Logan & Kessels Rd",UPPER MOUNT GRAVATT,-27.56244221,153.0809183,LIB
Grange Library Wifi,79 Evelyn St,GRANGE,-27.42531193,153.0174728,LIB
Hamilton Library Wifi,Cnr Racecourse Rd & Rossiter Pde,HAMILTON,-27.43790137,153.0642227,LIB
Holland Park Library Wifi,81 Seville Rd,HOLLAND PARK,-27.52292286,153.0722921,LIB
Inala Library Wifi,"Inala Shopping centre, Corsair Ave",INALA,-27.59828574,152.9735217,LIB
Indooroopilly Library Wifi,"Indrooroopilly Shopping centre, Level 4, 322 Moggill Rd",INDOOROOPILLY,-27.49764287,152.9736471,LIB
